X	Y	OBJECTID	COMPKEY	UNITID	UNITDESC	CONDITION	OWNERSHIP	CURRENT_STATUS	PRIMARYDISTRICTCD	SECONDARYDISTRICTCD	OVERRIDEYN	ELMNTKEY	COMPTYPE	SEGKEY	DISTANCE	WIDTH	UNITTYPE	MEASDIST	RECEIPT_NBR	PANDD_NBR	PANDD_NBR_START	PAIDAREA	SUBAREA	SIDE	PERSO_NBR	PS_CONFIGURATION	PAY_BY_PHONE	WIRELESS_CARRIER	MODEM	MODEL	CARD_READER	CATEGORY	OVERRIDECOMMENT	WKD_RATE1	WKD_START1	WKD_END1	WKD_RATE2	WKD_START2	WKD_END2	WKD_RATE3	WKD_START3	WKD_END3	SAT_RATE1	SAT_START1	SAT_END1	SAT_RATE2	SAT_START2	SAT_END2	SAT_RATE3	SAT_START3	SAT_END3	SUN_RATE1	SUN_START1	SUN_END1	SUN_RATE2	SUN_START2	SUN_END2	SUN_RATE3	SUN_START3	SUN_END3	START_TIME_WKD	END_TIME_WKD	START_TIME_SAT	END_TIME_SAT	START_TIME_SUN	END_TIME_SUN	PEAK_HOUR	SHAPE_LNG	SHAPE_LAT
-122.333394	47.6008082	959	527494	PSL-A001	S WASHINGTON ST 0010 BLOCK S SIDE ( 169) 169 FT E/O 1ST AVE S (S2-01-15)                                                                                                                                                                                       	GOOD	SDOT	INSVC	DISTRICT7	 	N	43906	109	21489	195	-27	PSL	169	A001	1001002	1001	Pioneer Square	Core	S	1652	12977	86839	T-MOBILE	3G	MS1	 	DISPLAY		3	480	659	5	660	1079				3	480	659	5	660	1079													08AM	06PM	08AM	06PM				-122.333394	47.6008082
-122.3320851	47.60080615	724	527496	PSL-A002	S WASHINGTON ST 0015 BLOCK S SIDE ( 196) 196 FT E/O OCCIDENTAL AVE S (S2-01-65)                                                                                                                                                                                	GOOD	SDOT	INSVC	DISTRICT7	 	N	89526	109	21490	196	-27	PSL	196	A002	1002002	1002	Pioneer Square	Core	S	1652	12977	86881	T-MOBILE	3G	MS1	 	DISPLAY		3	480	659	5	660	1079				3	480	659	5	660	1079													08AM	06PM	08AM	06PM				-122.3320851	47.60080615
-122.3323633	47.60095469	726	527495	PSL-A003	S WASHINGTON ST 0015 BLOCK N SIDE ( 109) 109 FT E/O OCCIDENTAL AVE S (S2-01-58)                                                                                                                                                                                	GOOD	SDOT	INSVC	DISTRICT7	 	N	89525	109	21490	127	27	PSL	109	A003	1003002	1003	Pioneer Square	Core	N	1652	12977	86590	T-MOBILE	3G	MS1	 	DISPLAY		3	480	659	5	660	1079				3	480	659	5	660	1079													08AM	06PM	08AM	06PM				-122.3323633	47.60095469
-122.3327653	47.60141988	727	527491	PSL-A004	OCCIDENTAL AVE S 0010 BLOCK E SIDE (  90) 90 FT S/O YESLER WAY (SOO-01-SOO-01-06)                                                                                                                                                                              	GOOD	SDOT	INSVC	DISTRICT7	 	N	57350	109	12022	110	27	PSL	90	A004	1004002	1004	Pioneer Square	Core	E	1652	12977	87492	T-MOBILE	3G	MS1	 	DISPLAY		3	480	659	5	660	1079				3	480	659	5	660	1079													08AM	06PM	08AM	06PM				-122.3327653	47.60141988
-122.3329846	47.60130817	238	527492	PSL-A005	OCCIDENTAL AVE S 0010 BLOCK W SIDE ( 131) 131 FT S/O YESLER WAY (SOO-01-13)                                                                                                                                                                                    	GOOD	SDOT	INSVC	DISTRICT7	 	N	57349	109	12022	151	-27	PSL	131	A005	1005002	1005	Pioneer Square	Core	W	1652	12977	87581	T-MOBILE	3G	MS1	 	DISPLAY		3	480	659	5	660	1079				3	480	659	5	660	1079													08AM	06PM	08AM	06PM				-122.3329846	47.60130817
-122.3334299	47.60096725	928	527493	PSL-A006	S WASHINGTON ST 0010 BLOCK N SIDE ( 161) 161 FT E/O 1ST AVE S (S2-01-12)                                                                                                                                                                                       	GOOD	SDOT	INSVC	DISTRICT7	 	N	43905	109	21489	186	31	PSL	161	A006	1006002	1006	Pioneer Square	Core	N	1652	12977	86288	T-MOBILE	3G	MS1	 	DISPLAY		3	480	659	5	660	1079				3	480	659	5	660	1079													08AM	06PM	08AM	06PM				-122.3334299	47.60096725
-122.334912	47.60095045	988	527497	PSL-A007	S WASHINGTON ST 0006 BLOCK N SIDE ( 170) 170 FT E/O ALASKAN E RDWY WAY S (S2-00-62)                                                                                                                                                                            	GOOD	SDOT	INSVC	DISTRICT7	 	N	21765	109	21488	152	24	PSL	170	A007	1007002	1007	Pioneer Square	Edge	N	1410	12978	86456	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM				-122.334912	47.60095045
-122.3349248	47.60079695	987	527498	PSL-A008	S WASHINGTON ST 0006 BLOCK S SIDE ( 159) 159 FT E/O ALASKAN E RDWY WAY S (S2-00-63)                                                                                                                                                                            	GOOD	SDOT	INSVC	DISTRICT7	 	N	21766	109	21488	149	-32	PSL	159	A008	1008002	1008	Pioneer Square	Edge	S	1410	12978	87191	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM				-122.3349248	47.60079695
-122.3348874	47.59820799	164	526677	PSL-A012	S KING ST 0006 BLOCK S SIDE ( 124) 124 FT E/O ALASKAN E RDWY WAY S (S5-00-59)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT2	 	N	20834	109	20593	128	-31	PSL	124	A012	1012002	1012	Pioneer Square	Edge	S	1410	12978	86435	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM				-122.3348874	47.59820799
-122.3336498	47.59821138	239	526740	PSL-A013	S KING ST 0010 BLOCK S SIDE ( 106) 106 FT E/O 1ST AVE S (S5-01-09)                                                                                                                                                                                             	GOOD	SDOT	INSVC	DISTRICT2	 	N	43054	109	20594	134	-29	PSL	106	A013	1013002	1013	Pioneer Square	Edge	S	1410	12978	87535	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM				-122.3336498	47.59821138
-122.3322678	47.59821471	242	527507	PSL-A014	S KING ST 0015 BLOCK S SIDE ( 153) 153 FT E/O OCCIDENTAL E AVE S (S5-01-65)                                                                                                                                                                                    	GOOD	SDOT	INSVC	DISTRICT2	 	N	20838	109	20596	153	-27	PSL	153	A014	1014002	1014	Pioneer Square	Edge	S	1410	12978	87241	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM				-122.3322678	47.59821471
-122.3308168	47.59820727	771	527509	PSL-A015	S KING ST 0020 BLOCK S SIDE ( 189) 189 FT E/O 2ND AVE S (S5-02-13)                                                                                                                                                                                             	GOOD	SDOT	INSVC	DISTRICT2	 	N	88630	109	20597	189	-29	PSL	189	A015	1015002	1015	Pioneer Square	Edge	S	1410	12978	86429	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM				-122.3308168	47.59820727
-122.3310226	47.59836926	984	527508	PSL-A016	S KING ST 0020 BLOCK N SIDE ( 107) 107 FT E/O 2ND AVE S (S5-02-20)                                                                                                                                                                                             	GOOD	SDOT	INSVC	DISTRICT2	 	N	88629	109	20597	138	30	PSL	107	A016	1016002	1016	Pioneer Square	Edge	N	1410	12978	86902	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM				-122.3310226	47.59836926
-122.3314415	47.59873307	233	527510	PSL-A017	2ND AVE S 0040 BLOCK E SIDE ( 151) 151 FT S/O S JACKSON ST (S02-04-12)                                                                                                                                                                                         	GOOD	SDOT	INSVC	DISTRICT2	 	N	70866	109	2871	171	34	PSL	151	A017	1017002	1017	Pioneer Square	Edge	E	1410	12978	87496	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM				-122.3314415	47.59873307
-122.3314305	47.59945417	544	527514	PSL-A018	2ND AVE S 0030 BLOCK E SIDE ( 194) 194 FT S/O S MAIN ST (S02-03-16)                                                                                                                                                                                            	GOOD	SDOT	INSVC	DISTRICT7	 	N	2926	109	2870	215	36	PSL	194	A018	1018002	1018	Pioneer Square	Core	E	1660	12977	87482	T-MOBILE	3G	MS1	 	DISPLAY		3	480	659	5	660	1079				3	480	659	5	660	1079													08AM	06PM	08AM	06PM				-122.3314305	47.59945417
-122.3322956	47.59836828	1024	527506	PSL-A023	S KING ST 0015 BLOCK N SIDE ( 133) 133 FT E/O OCCIDENTAL E AVE S (S5-01-60)                                                                                                                                                                                    	GOOD	SDOT	INSVC	DISTRICT2	 	N	20837	109	20596	146	29	PSL	133	A023	1023002	1023	Pioneer Square	Edge	N	1410	12978	87428	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM				-122.3322956	47.59836828
-122.3334552	47.59837008	1530	591664	PSL-A024	S KING ST 0010 BLOCK N SIDE ( 157) 157 FT E/O 1ST AVE S (S5-01-14)                                                                                                                                                                                             	GOOD	SDOT	INSVC	DISTRICT2	 	N	43053	109	20594	182	29	PSL	157	A024	1024002	1024	Pioneer Square	Edge	N	1410	12978	87528	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM				-122.3334552	47.59837008
-122.3344862	47.5983745	1034	526672	PSL-A025	S KING ST 0006 BLOCK N SIDE ( 227) 227 FT E/O ALASKAN E RDWY WAY S (S5-00-64)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT2	 	N	20833	109	20593	227	30	PSL	227	A025	1025002	1025	Pioneer Square	Edge	N	1410	12978	86556	T-MOBILE	3G	MS1	M500	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM				-122.3344862	47.5983745
-122.3346617	47.60011899	981	527516	PSL-A026	S MAIN ST 0006 BLOCK N SIDE ( 199) 199 FT E/O ALASKAN E RDWY WAY S (S3-00-20)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT7	 	N	65801	109	20728	199	27	PSL	199	A026	1026002	1026	Pioneer Square	Edge	N	1410	12978	86874	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM				-122.3346617	47.60011899
-122.3350139	47.5999715	461	527517	PSL-A027	S MAIN ST 0006 BLOCK S SIDE ( 112) 112 FT E/O ALASKAN E RDWY WAY S (S3-00-11)                                                                                                                                                                                  	GOOD	SDOT	INSVC	DISTRICT7	 	N	65802	109	20728	112	-27	PSL	112	A027	1027002	1027	Pioneer Square	Edge	S	1410	12978	87065	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM				-122.3350139	47.5999715
-122.3345557	47.59912595	1438	527521	PSL-A033	S JACKSON ST 0006 BLOCK S SIDE ( 219) 219 FT E/O ALASKAN E RDWY WAY S (S4-00-33)                                                                                                                                                                               	GOOD	SDOT	INSVC	DISTRICT2	DISTRICT7	N	65546	109	20481	219	-29	PSL	219	A033	1033002	1033	Pioneer Square	Edge	S	1410	12978	87025	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM				-122.3345557	47.59912595
-122.3343274	47.59878678	946	527531	PSL-A035	1ST AVE S 0040 BLOCK W SIDE ( 133) 133 FT S/O S JACKSON ST (S01-04-11)                                                                                                                                                                                         	GOOD	SDOT	INSVC	DISTRICT2	 	N	69085	109	1188	153	-34	PSL	133	A035	1035302	1035	Pioneer Square	Edge	W	1730	12997	86197	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM			6-9AM	-122.3343274	47.59878678
-122.334072	47.59878635	994	527530	PSL-A036	1ST AVE S 0040 BLOCK E SIDE ( 132) 132 FT S/O S JACKSON ST (S01-04-10)                                                                                                                                                                                         	GOOD	SDOT	INSVC	DISTRICT2	 	N	69086	109	1188	153	29	PSL	132	A036	1036302	1036	Pioneer Square	Edge	E	1730	12997	86158	T-MOBILE	3G	MS1	 	DISPLAY		2.5	480	659	4.5	660	1079				2.5	480	659	4.5	660	1079													08AM	06PM	08AM	06PM			6-9AM	-122.334072	47.59878635
